EXPORT_CIS — Subsystem A
Field,Value
Subsystem,A
Source workbook,RI_SA_water_availability_tool_v1.xlsx
Source calculation sheet,SA_calcu_indicators
Export sheet,EXPORT_CIS
Tool version,v1.1-public
Design,Internal formula links only; no external workbook links added
Period-level indicator summary
Source sheet,SA_calcu_indicators,Source range,N3:V9
Indicator code,Indicator name,Raw value,SD,Min,Max,Unit,Orientation,Calculation basis
A1,Time-based inflow reliability,0.725,,0.16666666666666666,1,-,Positive,Share of months with inflow ≥ Qmin
A2,Volumetric inflow reliability,0.8171829233673215,,0.059809026275220334,1,-,Positive,1 − cumulative deficit below Qmin / cumulative Qmin
A3,Mean drought duration,4.5,,0,0,months,Negative,Mean length of consecutive below-Qmin events
A4,Coefficient of variation,,,1.5612658867377247,1.5612658867377247,-,Negative,Interannual CV of annual inflow
A5,Buffering capacity,7.045096595255968,,2.4105140198593156,90.83093545730061,-,Positive,Useful reservoir capacity / mean annual inflow
A6,Carry-over dependence,1.839879240950485,0,0.6295236190438808,23.72117263751,-,Negative,Baseline mean annual inflow / present mean annual inflow
Annual indicator series
Source sheet,SA_calcu_indicators,Source range,A3:L13
Water year,Months with data,Annual inflow,Annual Qmin,Annual deficit,Months meeting Qmin,A1 Rt,A2 Rv,A3 Mean drought duration,Annual monthly CV,A5 Buffering capacity,A6 Carry-over dependence
2016,12,1932751.6515618686,225028.6333161499,0,12,1,1,0,1.5612658867377247,25.869852424958317,6.756103880134808
2017,12,550473.2473387866,225028.6333161499,8195.982590790003,9,0.75,0.9635780457357389,0,,90.83093545730061,23.72117263751
2018,12,10290747.262545168,225028.6333161499,13532.088040991159,10,0.8333333333333334,0.9398650392104568,0,,4.858733649205734,1.2688943377300037
2019,12,1829515.7529422091,225028.6333161499,211569.8898734674,3,0.25,0.059809026275220334,0,,27.329636227286098,7.137337249736473
2020,12,3936990.369951627,225028.6333161499,3817.660725395923,11,0.9166666666666666,0.9830347779785323,0,,12.700056464861085,3.3167139630607068
2021,12,9464512.804801406,225028.6333161499,0.542332607627576,11,0.9166666666666666,0.9999975899395573,0,,5.282892107730541,1.3796664658565163
2022,12,4684960.785279382,225028.6333161499,27506.468003548754,2,0.16666666666666666,0.8777645866741588,0,,10.67244792253225,2.7871889501152802
2023,12,5046278.980309228,225028.6333161499,146768.1374482542,5,0.4166666666666667,0.3477801678595499,0,,9.908290880290584,2.5876236695209296
2024,12,12492652.954814384,225028.6333161499,0,12,1,1,0,,4.002352437136352,1.045244031006392
2025,12,20742463.884494703,225028.6333161499,0,12,1,1,0,,2.4105140198593156,0.6295236190438808
